Index,Platform,Year of first publishment,Articles,Article links,Age (for whom to be protected),For whom to use/control the safety features,WhoUseControl,SafetyFeatures,Problemarea,Content,Contact,Conduct,Contract,Circulation,Quotes
Meta39,Meta,2021,Report an image of your child you want removed from Instagram,https://help.instagram.com/150792105063683/?helpref=search&query=minor&search_session_id=041cdf0a85cde91a32340d9e13b066cc&sr=19,Teens (13-17),Parents,Parents,Reporting User,Interpersonal Communication,,,,,REPORTING_USER,"To report an account that has shared photos of your child without your permission, fill out this contact form. Note that you don't need to have an Instagram account to complete the form but do need to provide a link to the photo or video you’re reporting."
Meta17,Meta,2019,Instagram Policy Changes on Self-Harm Related Content,https://about.instagram.com/blog/announcements/supporting-and-protecting-vulnerable-people-on-instagram,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,REDUCTING_CONTENT,,,,,"We will not show non-graphic, self-harm related content – such as healed scars – in search, hashtags and the explore tab, and we won’t be recommending it"
Meta18_1,Meta,2024,Instagram Teen Accounts,https://about.instagram.com/community/teen-accounts,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,Teen Accounts are automatically set to see less sensitive content from accounts they don’t follow.
Meta29,Meta,2021,Raising the Standard for Protecting Teens and Supporting Parents Online,https://about.instagram.com/blog/announcements/raising-the-standard-for-protecting-teens-and-supporting-parents-online,Teens (13-17),Teen/Platform,Platform & Teens,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"In July, we launched the Sensitive Content Control, which allows people to decide how much sensitive content shows up in Explore. The control has three options: Allow, Limit and Limit Even More. “Limit” is the default state for everyone and based on our Recommendation Guidelines, “Allow” enables people to see more sensitive content, whereas “Limit Even More” means they see less of this content than the default state. The “Allow” option is unavailable to people under the age of 18."
Meta35,Meta,2021,Introducing Sensitive Content Control,https://about.instagram.com/blog/announcements/introducing-sensitive-content-control,Teens (13-17),Teen/Platform,Platform & Teens,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"To view your Sensitive Content Control, go to your profile, tap the Settings menu in the upper right corner, tap Account, then tap Sensitive Content Control. Here you can decide whether to keep the setting at its default state (“Standard”) or to see more (“More”) or less of some types of sensitive content (“Less”). You can change your selection at any time. One exception to this: the “Allow” option will not be available to people under 18."
Meta43,Meta,2022,How to See More of What You Want on Instagram,https://about.instagram.com/blog/tips-and-tricks/control-your-instagram-feed,Teens (13-17),Teen/Platform,Platform & Teens,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"Adjust your ‘Sensitive Content Control’
We’ve always had rules about what kind of content can be on Instagram, we call these Community Guidelines, for example, we don’t allow hate speech, bullying, and other content that might present a risk of harm to people. But you may see content that doesn’t break the rules, but could be upsetting to some. We recognize that everybody has different preferences, so you can decide to leave things as they are, assuming you’re satisfied with your experience today, or you can adjust the Sensitive Content Control to see more or less of some types of sensitive content. For people under the age of 18, the “More” option is unavailable. To view your Sensitive Content Control go to your profile, tap the Settings menu, tap Account and tap Sensitive Content control."
Meta7,Meta,2024,Visibility of your teen's images on Instagram,https://help.instagram.com/514520825226629/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=10,Teens (13-17),Platform,Platform,Reporting User,Interpersonal Communication,,BLOCKING_PEOPLE,,,,"Your teen can also block people on Instagram. When they block another person, that person can't view your teen's photos or videos or search for their Instagram account."
Meta70,Meta,2024,Our New Education Campaign to Help Protect Teens from Sextortion Scams,https://about.instagram.com/blog/announcements/campaign-against-teen-sextortion,Teens (13-17),Platform,Platform,Message Safety Filters,Interpersonal Communication,,,,,NUDITY_PROTECTION,"we’re now rolling out our nudity protection feature globally in Instagram DMs. This feature, which will be enabled by default for teens under 18, will blur images that we detect contain nudity when sent or received in Instagram DMs and will warn people of the risks associated with sending sensitive images"
Meta45_1,Meta,2023,Manage false content you see on Instagram and Threads,https://help.instagram.com/1107384716892497/,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,REDUCE_MORE,,,,,"If you are under 18, you may not have the Don’t reduce option when managing your false content settings, which means you may not have the option to see more content that may be false on Instagram or Threads.

If you are under 16, your false content setting will be set to Reduce more by default, which means you may see less content that may be false on Instagram or Threads."
Meta71,Meta,2024,"Introducing Instagram Teen Accounts: Built-In Protections for Teens, Peace of Mind for Parents",https://about.instagram.com/blog/announcements/instagram-teen-accounts,Teens (13-17),Parents,Parents,Message Safety Filters,Interpersonal Communication,HIDDEN_WORDS,HIDDEN_WORDS,,,,"Limited interactions: Teens can only be tagged or mentioned by people they follow. We’ll also automatically turn on the most restrictive version of our anti-bullying feature, Hidden Words, so that offensive words and phrases will be filtered out of teens’ comments and DM requests."
Meta72,Meta,2024,New Tools to Help Protect Against Sextortion and Intimate Image Abuse,https://about.instagram.com/blog/announcements/new-tools-to-help-protect-against-sextortion-and-intimate-image-abuse,Teens (13-17),Platform,Platform,Message Safety Filters,Interpersonal Communication,NUDITY_PROTECTION,NUDITY_PROTECTION,,,,"Introducing Nudity Protection in DMs
While people overwhelmingly use DMs to share what they love with their friends, family or favorite creators, sextortion scammers may also use private messages to share or ask for intimate images. To help address this, we’ll soon start testing our new nudity protection feature in Instagram DMs, which blurs images detected as containing nudity and encourages people to think twice before sending nude images. This feature is designed not only to protect people from seeing unwanted nudity in their DMs, but also to protect them from scammers who may send nude images to trick people into sending their own images in return.

Nudity protection will be turned on by default for teens under 18 globally, and we’ll show a notification to adults encouraging them to turn it on.

When nudity protection is turned on, people sending images containing nudity will see a message reminding them to be cautious when sending sensitive photos, and that they can unsend these photos if they’ve changed their mind."
Meta72_1,Meta,2024,Introducing Stricter Message Settings for Teens on Instagram and Facebook,https://about.fb.com/news/2024/01/introducing-stricter-message-settings-for-teens-on-instagram-and-facebook/,Teens (13-17),Platform,Platform,Message Safety Filters,Interpersonal Communication,,NUDITY_PROTECTION,,,,"In addition, we’re planning to launch a new feature designed to help protect teens from seeing unwanted and potentially inappropriate images in their messages from people they’re already connected to, and to discourage them from sending these types of images themselves. We’ll have more to share on this feature, which will also work in encrypted chats, later this year."
Meta46,Meta,2022,Updates to the Sensitive Content Control,https://about.instagram.com/blog/announcements/updates-to-the-sensitive-content-control,Teens (13-17),Teen/Platform,Platform & Teens,Content Viewing Levels,Content Exposure,CONTENT_CONTROL,,,,,"We’re continuously developing controls to help people personalize their experience on Instagram. Last summer, we launched the Sensitive Content Control so people could choose how much or how little sensitive content to see in Explore from accounts they don’t follow. Today, we’re announcing updates to this control.

Starting today, the Sensitive Content Control will cover all surfaces where we make recommendations. In addition to Explore, you will now be able to control the amount of sensitive content and accounts you see in Search, Reels, Accounts You Might Follow, Hashtag Pages and In-Feed Recommendations. With this update, we’re also applying the technology we use to enforce our Recommendation Guidelines to Instagram’s recommendations on Search and Hashtag pages. This update will be available to everyone in the coming weeks.

The Sensitive Content Control has three options, which we’ve renamed from when we first introduced the control to help explain what each option does. The three options are: “More”, “Standard” and “Less”.

“Standard” is the default state, and will prevent people from seeing some sensitive content and accounts. “More” enables people to see more sensitive content and accounts, whereas “Less” means they see less of this content than the default state. For people under the age of 18, the “More” option is unavailable.
"
Meta53,Meta,2024,Parental Supervision,https://help.instagram.com/309877544512275/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=29,Teens (13-17),Parents/Teens,Parents & Teens,Content Viewing Levels,Content Exposure,CONTENT_SETTINGS; HIDDEN_WORDS,,,,,"Their teen’s account privacy setting.
Their teen’s setting for who can send them message requests.
Their teen’s setting for who can add them to a group chat.
Their teen’s sensitive content setting.
Their teen’s settings for who can tag or mention them or remix their content.
Their teen’s sensitive content setting.
Their teen’s Hidden Words settings, which hide potentially offensive comments and message requests. Note: This setting for message requests is not currently supported on web browsers or Meta Quest.
Their teen’s sleep mode setting.
Their teen’s daily time limit."
Meta8,Meta,2014,What to do if you see sexually exploitative images of children on Instagram,https://help.instagram.com/423234141135444/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=32,Teens (13-17),General User,Other User,Reporting User,Interpersonal Communication,,,,,REPORTING_CONTENT,"Posting, sharing or downloading images that sexually exploit children for any reason can be criminal. We report all apparent child pornography to the National Center for Missing and Exploited Children.
If you ever see this type of content on Instagram:
Don't share it or comment on it.
Report it to us by using the built-in reporting options."
Meta68,Meta,2023,Continuing to Create Age-Appropriate Ad Experiences for Teens,https://about.fb.com/news/2023/01/age-appropriate-ads-for-teens/,Teens (13-17),Teens (13-17),Teens,Content Viewing Levels,Content Exposure,,,,AD_CONTROL,,"Starting in March, teens will have more ways to manage the types of ads they see on Facebook and Instagram with Ad Topic Controls, expanding on what’s already available. Teens will be able to go to their Ad Preferences within Settings on both apps, and choose See Less or No Preference to further control the types of ads they see."
Meta71,Meta,2024,"Introducing Instagram Teen Accounts: Built-In Protections for Teens, Peace of Mind for Parents",https://about.instagram.com/blog/announcements/instagram-teen-accounts,Teens (13-17),Parents,Parents,Content Viewing Levels,Content Exposure,,,,,,"Sensitive content restrictions: Teens will automatically be placed into the most restrictive setting of our sensitive content control, which limits the type of sensitive content (such as content that shows people fighting or promotes cosmetic procedures) teens see in places like Explore and Reels."
Meta91,Meta,2024,Combating Financial Sextortion Scams From Nigeria,https://about.fb.com/news/2024/07/combating-financial-sextortion-scams-from-nigeria/,Teens (13-17),Platform,Platform,Message Safety Filters,Interpersonal Communication,,,,,,"Finally, we’ve started testing our on-device nudity protection feature in Instagram DMs, which will blur images detected as containing nudity, encourage people to be cautious when sending sensitive images and direct people to safety tips and resources, including NCMEC’s Take It Down platform."
Meta75,Meta,2024,About Instagram Teen Accounts,https://help.instagram.com/995996839195964/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=6,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"Potentially offensive comments and message requests: Teen Accounts are automatically set to hide potentially offensive comments and message requests through the Hidden Words settings. Note: The Hidden Words setting for message requests is not currently supported on web browsers or Meta Quest.
Sensitive content control: Teen Accounts are automatically set to see less sensitive content in search results and recommended content in Explore, Reels and feed."
Meta76,Meta,2024,About Instagram teen privacy and safety settings,https://help.instagram.com/3237561506542117/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=2,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"Sensitive Content Control
The Sensitive Content Control enables people to choose how much or how little sensitive content they see from accounts they don’t follow. There are two options for teens: “Standard” and “Less.” All teens on Instagram under 18 years old are defaulted into the “Less” state, unless they explicitly opt-out. Teen Accounts for teens under 16 need their parent or guardian’s permission to change this setting from Less to Standard.
This makes it more difficult for young people to come across potentially sensitive content or accounts in Search, Explore, Hashtag Pages, Reels, Feed Recommendations and Suggested Accounts. Learn more about the Sensitive Content Control."
Meta90,Meta,2024,How Meta products and tools support age-appropriate experiences,https://about.meta.com/actions/safety/resource/f/871648470589685/,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,"Content controls and policies
Our sensitive content control makes
it more difficult for young people
to come across potentially harmful
or sensitive content or accounts
in search, Explore, hashtag pages,
Reels, Feed recommendations and
suggested accounts. Now, by default,
teens who are younger than 16 will
receive the most restrictive setting,
Less, to limit content that might not
be age-appropriate."
Snapchat12_1,Snapchat,2024,Family Center,https://assets.ctfassets.net/ou2g43s52fjc/3h0VSX0asdXT3GprJNaYR4/33cb3575580410db14e5a26e042a2e4b/Family_Center_Guide.pdf?lang=en-US,Teens (13-17),Parents (Teens must opt in),Parents,Reporting User,Interpersonal Communication,,"DISABLE_MY_AI, REPORT_ABUSE",,,,"Manage parental controls for My AI. Easily and confidentially report any concerns directly to our safety teams, who work around the clock to keep Snapchatters safe."
Meta90,Meta,2024,How Meta products and tools support age-appropriate experiences,https://about.meta.com/actions/safety/resource/f/871648470589685/,Teens (13-17),Teens (13-17),Teens,Content Viewing Levels,Content Exposure,,,,AD_CONTROL,,"Giving teens more control
Teens will soon be able to manage the
types of ads they see on Facebook
and Instagram with Ad Topic Controls."
Meta93,Meta,2024,New Protections to Give Teens More Age-Appropriate Experiences on Our Apps,https://about.fb.com/news/2024/01/teen-protections-age-appropriate-experiences-on-our-apps/,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,SENSITIVE_CONTENT_CONTROL,,,,,We’re automatically placing all teens into the most restrictive content control settings on Instagram and Facebook and restricting additional terms in Search on Instagram.
Snapchat15_1,Snapchat,2023,Tools and Ressources for Parents,https://parents.snapchat.com/parental-controls?lang=en-US,Teens (13-17),Parents (Teens must opt in),Parents,Reporting User,Interpersonal Communication,,"DISABLE_MY_AI, PARENTAL_REPORT_OF_ABUSERS",,"PARENTS_SEE_TEENS_PRIVACY_SETTINGS, PARENTS_SEE_TEENS_FRIENDS, PARENTS_SEE_WHO_TEENS_MESSAGED",,"On Family Center, parents can view their teens' privacy and safety settings, manage parental controls for My AI, and easily and confidentially report any concerns directly to our Trust and Safety team"
Snapchat1_1,Snapchat,2024,Community Guidelines,https://values.snap.com/privacy/transparency/community-guidelines?lang=en-GB,ChildrenUnder18,Platform,Platform,Content Recommendation Restrictions,Content Exposure,,,,,"CONTENT_REMOVAL, REPORTING_ACCOUNTS_TO_AUTHORITIES","We prohibit any activity that involves sexual exploitation or abuse of a minor, including sharing child sexual exploitation or abuse imagery, grooming or sexual extortion (sextortion), or the sexualisation of children. We report all identified instances of child sexual exploitation to authorities, including attempts to engage in such conduct. Never post, save, send, forward, distribute or ask for nude or sexually explicit content involving anyone under the age of 18 (this includes sending or saving such images of yourself). "
Snapchat25,Snapchat,2024,What happens when I report my teen’s friend through Family Center?,https://help.snapchat.com/hc/en-us/articles/8132866323476-What-happens-when-I-report-my-teen-s-friend-through-Family-Center,Teens (13-17),Parents,Parents,Reporting User,Interpersonal Communication,,PARENTAL_REPORTING_OF_TEENS_CONTACTS,,,,"When you report an account through Family Center, either from the ‘Recent Conversations’ section or from the ‘Friends List,’ you are taken to the account reporting page where you can tell us why you think the account may have violated our rules. Submitting the report sends it to our Trust and Safety team, who will review and enforce our guidelines accordingly. "
Snapchat12_1,Snapchat,2024,Family Center,https://assets.ctfassets.net/ou2g43s52fjc/3h0VSX0asdXT3GprJNaYR4/33cb3575580410db14e5a26e042a2e4b/Family_Center_Guide.pdf?lang=en-US,Teens (13-17),Parents (Teens must opt in),Parents,Content Viewing Levels,Content Exposure,RESTRICT_SENSITIVE_CONTENT,,,,,"Manage parental controls for My AI. Easily and confidentially report any concerns directly to our safety teams, who work around the clock to keep Snapchatters safe."
Snapchat15,Snapchat,2024,Our Work To Help Keep Snapchatters Safe,https://values.snap.com/news/keeping-snapchatters-safe?lang=en-US,Teens (13-17),Platform/Teen,Platform & Teens,Account Termination,Content Creation,,,,,ACCOUNT_REMOVAL,
Snapchat28,Snapchat,2023,What is Family Center?,https://help.snapchat.com/hc/en-us/articles/7121384944788-What-is-Family-Center,Teens (13-17),Parents,Parents,Reporting User,Interpersonal Communication,,"DISABLE_MY_AI, PARENTAL_REPORTING_OF_ABUSERS",,,,"See which Snapchat friends or Groups their teens have chatted with in the last seven days, in a way that still protects their privacy by not revealing the actual contents of their conversations (Snaps and messages); See a complete list of Group members in Group chats their teen is in that have been active over the last seven days; See a complete list of their teens’ existing friends and easily view new friends their teens have added, making it easy to start conversations about who their new contacts are; Limit their teen’s ability to view certain content in the Stories and Spotlight tabs; Disable My AI from responding to their teen; View their teen's birthday settings; and Easily and confidentially report any accounts parents may be concerned about directly to our 24/7 Trust and Safety team."
Snapchat30,Snapchat,2023,How We Keep Our Snapchat Community Safe & Informed,https://help.snapchat.com/hc/en-us/articles/7012398850836-How-We-Keep-Our-Snapchat-Community-Safe-Informed,Teens (13-17),Parents (25+),Parents,Reporting User,Interpersonal Communication,,PARENTAL_REPORTING_OF_ABUSERS,,"PARENTS_SEE_TEENS_FRIENDS, PARENTS_SEE_WHO_TEENS_MESSAGED",,"If you’re a parent over the age of 25, you can use Family Center to get more insight into who your teen is friends with on Snapchat, and who they have been communicating with, while still respecting their teens’ privacy and autonomy. Easily and confidentially report any accounts parents may be concerned about directly to our 24/7 Trust and Safety team"
Snapchat21,Snapchat,2024,How do I restrict content for my teen in Family Center?,https://help.snapchat.com/hc/en-us/articles/13904198624276-How-do-I-restrict-content-for-my-teen-in-Family-Center,Teens (13-17),Parents,Parents,Content Recommendation Restrictions,Content Exposure,PARENTAL_CONTROL_TO_RESTRICT_SENSITIVE_CONTENT,,,,,"As a parent enrolled in Family Center, you can restrict certain content that your teen may see in the Stories and Spotlight tabs. While Stories and Spotlight content is moderated, some posts may contain images or captions that do not explicitly violate our Community Guidelines yet contain sensitive or suggestive content - for example, references to sexual activity or visual emphasis on certain body parts. Note that this does not restrict your teen from viewing this content in other places, for example when viewed as part of search results, as shared in Chat, or as part of a Subscription."
Snapchat31,Snapchat,2024,How do I stay safe on Snapchat?,https://help.snapchat.com/hc/en-us/articles/7012304746644-How-do-I-stay-safe-on-Snapchat,Teens (13-17),Parents (25+),Parents,Reporting User,Interpersonal Communication,,PARENTAL_REPORTING_OF_ABUSERS,,,,"Family Center will provide parents over the age of 25 the ability to: See which Snapchat friends their teens have sent messages, photos, or videos to in the last seven days, in a way that still protects their privacy by not revealing the actual contents of their conversations (Snaps and messages); See a complete list of their teens’ existing friends, and allow parents to easily view new friends their teens have added, making it easy to start conversations about who their new contacts are; Limit their teen’s ability to view certain content in the Stories and Spotlight tabs; and Easily and confidentially report any accounts parents may be concerned about directly to our 24/7 Trust and Safety team."
Snapchat27,Snapchat,2024,What if my teen sees any content that could be sensitive or suggestive in Stories and Spotlight after I’ve turned on content controls?,https://help.snapchat.com/hc/en-us/articles/13904201635476-What-if-my-teen-sees-any-content-that-could-be-sensitive-or-suggestive-in-Stories-and-Spotlight-after-I-ve-turned-on-content-controls,Teens (13-17),Parents,Parents,Content Recommendation Restrictions,Content Exposure,PARENTAL_CONTROL_TO_RESTRICT_SENSITIVE_CONTENT,,,,,"To reduce instances of sensitive or suggestive content appearing on your teen’s Stories and Spotlight feeds, you can turn on restrictions in Family Center."
Snapchat28,Snapchat,2023,What is Family Center?,https://help.snapchat.com/hc/en-us/articles/7121384944788-What-is-Family-Center,Teens (13-17),Parents,Parents,Content Viewing Levels,Content Exposure,PARENTAL_CONTROL_TO_RESTRICT_SENSITIVE_CONTENT,,,,,"See which Snapchat friends or Groups their teens have chatted with in the last seven days, in a way that still protects their privacy by not revealing the actual contents of their conversations (Snaps and messages); See a complete list of Group members in Group chats their teen is in that have been active over the last seven days; See a complete list of their teens’ existing friends and easily view new friends their teens have added, making it easy to start conversations about who their new contacts are; Limit their teen’s ability to view certain content in the Stories and Spotlight tabs; Disable My AI from responding to their teen; View their teen's birthday settings; and Easily and confidentially report any accounts parents may be concerned about directly to our 24/7 Trust and Safety team."
Snapchat31,Snapchat,2024,How do I stay safe on Snapchat?,https://help.snapchat.com/hc/en-us/articles/7012304746644-How-do-I-stay-safe-on-Snapchat,Teens (13-17),Parents (25+),Parents,Content Viewing Levels,Content Exposure,PARENTAL_CONTROL_TO_RESTRICT_SENSITIVE_CONTENT,,,,,"Family Center will provide parents over the age of 25 the ability to: See which Snapchat friends their teens have sent messages, photos, or videos to in the last seven days, in a way that still protects their privacy by not revealing the actual contents of their conversations (Snaps and messages); See a complete list of their teens’ existing friends, and allow parents to easily view new friends their teens have added, making it easy to start conversations about who their new contacts are; Limit their teen’s ability to view certain content in the Stories and Spotlight tabs; and Easily and confidentially report any accounts parents may be concerned about directly to our 24/7 Trust and Safety team."
Snapchat8_1,Snapchat,2024,Content Guidelines for Recommendation Eligibility,"https://www.snap.com/content-recommendation-guidelines?lang=en-GB#:~:text=harassment%20or%20bullying.-,Disturbing%20or%20Violent%20Content,graphic%20violence%2C%20including%20animal%20abuse.",Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,,,,,NO_RECOMMENDATION,"Our Community Guidelines strictly prohibit all forms of child sexual exploitation. These Content Guidelines additionally prohibit edge-case content that may fall short of a legal definition of child sexual exploitation or abuse material. That means we deny amplification to any content, real or fictional, about romantic or sexual relationships between adults and minors, unless the specific incident is newsworthy because of its relevance to prominent issues, individuals or institutions. Even in newsworthy instances, coverage of minors in sexual situations must not be sensationalized, suggestive or exploitative. This also includes content, real or fictional, about sexual activity between minors."
TikTok1,TikTok,2019,musical.ly’s agreement with FTC,https://newsroom.tiktok.com/en-us/musical-lys-agreement-with-ftc ,ChildrenUnder13,Platform,Platform,Content Recommendation Restrictions,Content Exposure,CONTENT_RESTRICTIONS,,,,,The new environment for younger users puts extensive limitations on content 
TikTok12,TikTok,2020,Coming together to support body positivity on TikTok,https://newsroom.tiktok.com/en-us/coming-together-to-support-body-positivity-on-tiktok,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,ADS_AGE_RESTRICTIONS,,,,,Weight management products can only reach users age 18+
TikTok14,TikTok,2020,Supporting youth and families on TikTok,https://newsroom.tiktok.com/en-us/supporting-youth-and-families-on-tiktok,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,,,,,CONTENT_REMOVAL,"We've also developed global partnerships to protect against child exploitation as we remove such content, terminate accounts, and report cases the National Center for Missing and Exploited Children and law enforcement."
TikTok14,TikTok,2020,Supporting youth and families on TikTok,https://newsroom.tiktok.com/en-us/supporting-youth-and-families-on-tiktok,Teens (13-17),Platform,Platform,Account Termination,Content Creation,,,,,"TERMINATING_ACCOUNTS, REPORTING_CASES, PHOTO_IDENTIFICATION","We've also developed global partnerships to protect against child exploitation as we remove such content, terminate accounts, and report cases the National Center for Missing and Exploited Children and law enforcement."
TikTok14,TikTok,2020,Supporting youth and families on TikTok,https://newsroom.tiktok.com/en-us/supporting-youth-and-families-on-tiktok,Teens (13-17),Parent,Parents,Content Viewing Levels,Content Exposure,CONTENT_RESTRICTIONS,,,,,
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,ChildrenUnder13,Platform,Platform,Content Recommendation Restrictions,Content Exposure,RESTRICTED_CONTENT,,,,,"In the US, we accommodate users under 13 in a limited app experience, TikTok for Younger Users, which offers additional safeguards and privacy protections designed specifically for a younger audience. This experience allows users to browse a curated library of age-appropriate videos"
TikTok19,TikTok,2021,TikTok joins the Technology Coalition,https://newsroom.tiktok.com/en-us/us-tiktok-joins-the-technology-coalition,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,,,,,"CONTENT_REMOVAL, TERMINATING_ACCOUNTS, REPORTING_CASES","We do not tolerate content or behavior that perpetuates the abuse, harm, endangerment, or exploitation of minors, as outlined in our Community Guidelines. If we become aware of any such content, we will take immediate action to remove content, terminate accounts, and report cases to NCMEC and law enforcement, as appropriate."
TikTok2,TikTok,2019,Limiting unwanted content,https://newsroom.tiktok.com/en-us/limiting-unwanted-content,Teens (13-17),"Parent/Teen (only the one who enabled it, can disable it)",Parents & Teens,Content Viewing Levels,Content Exposure,CONTENT_RESTRICTIONS,,,,,"If you’re a parent and your teen uses TikTok, it might make sense to enable this setting to ensure the content they are viewing is age-appropriate."
TikTok21,TikTok,2021,Our work to design an age-appropriate experience on TikTok,https://newsroom.tiktok.com/en-us/our-work-to-design-an-age-appropriate-experience-on-tiktok,ChildrenUnder13,Platform,Platform,Content Recommendation Restrictions,Content Exposure,"VIEW_ONLY, RESTRICTED_CONTENT",,,,,"TikTok has a 12+ rating in the App Store which lets parents use device-level parental controls to block their teen from downloading the app. In the US, if someone enters a birthday that confirms they're under 13, they'll be directed into TikTok for Younger Users, a curated viewing experience with additional safeguards and privacy protections designed specifically for this audience.  When our safety team believes that an account may belong to an underage person, the account will be suspended."
TikTok24,TikTok,2021,Advancing our approach to user safety,https://newsroom.tiktok.com/en-us/advancing-our-approach-to-user-safety,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,,,,,"ACCOUNT_REMOVAL, BLOCKING_DEVICES","Our zero-tolerance policies, such as posting child sexual abuse material, automatically result in an account's removal. We may also block a device to help prevent future accounts from being created."
TikTok25_1_1,TikTok,2020,Introducing Family Safety Mode and Screentime Management in Feed,https://newsroom.tiktok.com/en-gb/family-safety-mode-and-screentime-management-in-feed,Teens (13-17),Parent,Parents,Content Viewing Levels,Content Exposure,CONTROL_RESTRICTED_MODE,,,,,Screen Time Management: Control how long their teen can spend on TikTok each day. Direct Messages: Limit who can send messages to the connected account or turn off direct messaging completely. Restricted Mode: Restrict the appearance of content that may not be appropriate for all audiences.
TikTok3,TikTok,2019,TikTok's Top 10 Tips for Parents,https://newsroom.tiktok.com/en-us/tiktoks-top-10-tips-for-parents,Teens (13-17),Parent/Teen (passcode protection possible for parents),Parents & Teens,Content Recommendation Restrictions,Content Exposure,"SELECT_CONTENT_RECOMMENDATIONS, CONTENT_RESTRICTIONS",,,PASSCODE_PROTECTION_OF_RESTRICTED_MODE,,"Restricted Mode is an option that limits the appearance of content that may not be appropriate for all audiences. Restricted Mode can always be adjusted if you'd like to disable it as your teen ages, but in the meantime you can set it behind a passcode for additional control."
TikTok4,TikTok,2019,TikTok Parental Guide,https://newsroom.tiktok.com/en-us/tiktok-parental-guide,Teens (13-17),Platform/Teen,Platform & Teens,Reporting User,Interpersonal Communication,REPORTING_CONTENT,"BLOCKING_USERS, REPORTING_USERS, BLOCKING_USERS",,,,"If someone makes a comment that violates our Community Guidelines, you can take action by reporting that comment. By blocking a user they will not be able to view your teen's content or send them messages. If your teen comes across content that may suggest immediate physical danger to another user, they should report it immediately."
TikTok3_2,TikTok,2019,Limiting unwanted content,https://newsroom.tiktok.com/en-us/limiting-unwanted-content,Teens (13-17),"Parent/Teen (only the one who enabled it, can disable it)",Parents & Teens,Content Recommendation Restrictions,Content Exposure,"SELECT_CONTENT_RECOMMENDATIONS, CONTENT_RESTRICTIONS",,,,,"f you’re a parent and your teen uses TikTok, it might make sense to enable this setting to ensure the content they are viewing is age-appropriate."
TikTok37,TikTok,2022,More ways for our community to enjoy what they love,https://newsroom.tiktok.com/en-us/more-ways-for-our-community-to-enjoy-what-they-love,Teens (13-17),Platform,Platform,Content Viewing Levels,Content Exposure,CONTENT_RESTRICTIONS,,,,,prevent content with overtly mature themes from reaching audiences between ages 13-17. 
TikTok4,TikTok,2019,TikTok Parental Guide,https://newsroom.tiktok.com/en-us/tiktok-parental-guide,Teens (13-17),"Parent/Teen (only the one who enabled it, can disable it)",Parents & Teens,Content Viewing Levels,Content Exposure,"SELECT_CONTENT_RECOMMENDATIONS, CONTENT_RESTRICTIONS",,,,,Restricted Mode is an option at the account settings level that limits the appearance of content that may not be appropriate for all audiences.
TikTok43,TikTok,2022,Strengthening enforcement of sexually suggestive content,https://newsroom.tiktok.com/en-us/strengthening-enforcement-of-sexually-suggestive-content,Teens (13-17),Platform,Platform,Content Recommendation Restrictions,Content Exposure,RECOMMENDATION_RESTRICTIONS,,,,,"To safeguard For You feeds, TikTok has policies around content categories that are not eligible for recommendation, including implied nudity, sensual content, and other content that is not suitable for all audiences over age 13. Content Levels system, which is designed to prevent certain content with more mature or complex themes from reaching audiences between ages 13-17 (teen accounts). "
